KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 500
                               grid_y = 80
                     substrate_height = 16
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 2.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.080
                      temperature [K] = 600
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
         118000       0.339689            366         0.9989          112.1          0.991
         119000       0.343931            372         0.9989          113.0          0.965
         120000       0.346370            378         0.9990          114.0          0.982
         121000       0.350322            379         0.9989          114.9          0.997
         122000       0.353178            380         0.9989          115.9          0.991
         123000       0.356570            383         0.9989          116.9          1.004
         124000       0.358426            386         0.9989          117.8          1.007
         125000       0.361541            386         0.9989          118.8          0.956
         126000       0.364391            390         0.9989          119.8          0.957
         127000       0.366746            392         0.9989          120.7          1.006
         128000       0.369465            395         0.9989          121.8          1.008
         129000       0.371880            400         0.9988          122.7          0.964
         130000       0.374792            402         0.9988          123.7          0.949
         131000       0.378228            406         0.9988          124.7          1.032
         132000       0.380677            410         0.9988          125.7          1.029
         133000       0.383800            415         0.9988          126.6          1.033
         134000       0.385526            419         0.9988          127.6          1.032
         135000       0.388590            424         0.9988          128.7          1.032
         136000       0.391684            429         0.9988          129.7          0.957
         137000       0.393384            431         0.9988          130.6          0.918
         138000       0.396048            433         0.9988          131.6          0.943
         139000       0.399317            437         0.9988          132.6          0.994
         140000       0.403785            441         0.9987          133.6          0.903
         141000       0.406077            444         0.9987          134.6          0.880
         142000       0.409466            447         0.9987          135.6          0.872
         143000       0.412722            453         0.9987          136.6          0.950
         144000       0.415790            454         0.9987          137.6          0.836
         145000       0.418829            457         0.9987          138.6          0.832
         146000       0.421772            460         0.9987          139.6          0.830
         147000       0.424813            466         0.9986          140.6          0.832
         148000       0.428797            470         0.9986          141.6          0.831
         149000       0.432543            474         0.9986          142.6          0.831
         150000       0.435646            474         0.9986          143.6          0.837
         151000       0.437903            478         0.9985          144.6          0.843
         152000       0.441043            480         0.9986          145.7          0.841
         153000       0.444737            486         0.9985          146.6          0.889
         154000       0.447264            489         0.9985          147.6          0.964
         155000       0.451368            492         0.9985          148.6          0.930
         156000       0.455355            495         0.9985          149.6          0.989
         157000       0.458645            498         0.9985          150.6          0.958
         158000       0.461967            502         0.9985          151.6          0.950
         159000       0.465010            504         0.9984          152.6          0.913
         160000       0.468541            507         0.9984          153.6          0.986
         161000       0.471494            510         0.9984          154.6          0.910
         162000       0.474744            511         0.9984          155.6          0.995
         163000       0.477774            513         0.9984          156.6          0.930
         164000       0.480867            517         0.9984          157.6          0.985
         165000       0.484923            520         0.9984          158.7          0.923
         166000       0.488682            524         0.9983          159.7          0.989
         167000       0.491463            529         0.9983          160.8          0.991
         168000       0.494485            531         0.9983          161.8          1.033
         169000       0.497680            533         0.9983          162.8          0.933
         170000       0.501123            537         0.9983          163.8          0.910
         171000       0.504766            542         0.9983          164.8          0.977
         172000       0.508992            545         0.9982          165.7          1.014
         173000       0.512951            550         0.9982          166.7          0.957
         174000       0.516690            556         0.9982          167.8          1.012
         175000       0.520031            557         0.9982          168.8          1.010
         176000       0.524100            559         0.9982          169.8          0.938
         177000       0.527014            561         0.9982          170.8          0.916
         178000       0.530346            562         0.9982          171.8          0.899
         179000       0.533713            565         0.9982          172.8          0.915
         180000       0.536555            566         0.9982          173.7          0.902
         181000       0.539430            568         0.9982          174.8          0.897
         182000       0.542471            572         0.9981          175.8          1.038
         183000       0.544604            574         0.9981          176.7          1.008
         184000       0.547717            578         0.9981          177.7          1.064
         185000       0.550564            580         0.9981          178.7          1.068
         186000       0.553191            583         0.9981          179.8          0.990
         187000       0.556742            586         0.9981          180.9          1.087
         188000       0.559298            589         0.9981          181.9          1.100
         189000       0.561984            593         0.9981          182.9          1.102
         190000       0.565098            594         0.9981          184.0          1.006
         191000       0.568010            597         0.9981          185.0          1.042
         192000       0.570622            598         0.9981          186.0          0.997
         193000       0.574663            601         0.9981          187.0          0.980
         194000       0.577566            604         0.9980          188.0          1.103
         195000       0.582197            608         0.9980          189.1          1.075
         196000       0.585470            612         0.9980          190.1          1.069
         197000       0.588757            616         0.9980          191.1          1.138
         198000       0.592862            617         0.9980          192.2          1.070
         199000       0.596725            624         0.9980          193.2          1.073
         200000       0.600218            627         0.9980          194.2          1.079
         201000       0.603004            630         0.9979          195.2          1.136
         202000       0.606325            634         0.9979          196.2          1.143
         203000       0.609455            638         0.9979          197.3          1.142
         204000       0.612072            639         0.9979          198.3          1.107
         205000       0.615943            644         0.9979          199.3          1.037
         206000       0.620236            649         0.9979          200.4          1.107
         207000       0.622743            652         0.9979          201.4          1.119
         208000       0.626228            654         0.9979          202.5          1.058
         209000       0.629609            659         0.9979          203.5          1.093
         210000       0.633659            663         0.9978          204.5          1.156
         211000       0.637495            668         0.9978          205.6          0.992
         212000       0.640199            670         0.9978          206.6          1.003
         213000       0.643782            674         0.9978          207.7          1.066
         214000       0.647486            679         0.9978          208.8          1.003
         215000       0.649864            684         0.9978          209.9          0.963
         216000       0.653488            691         0.9978          210.8          1.002
         217000       0.657113            694         0.9978          211.9          1.056
         218000       0.659873            695         0.9978          212.9          0.978
         219000       0.663494            699         0.9978          214.0          0.999
         220000       0.666325            700         0.9978          215.0          1.016
         221000       0.669529            701         0.9978          216.0          1.050
         222000       0.671542            702         0.9978          217.0          0.990
         223000       0.675975            706         0.9978          218.0          0.967
         224000       0.679170            707         0.9978          219.1          0.996
         225000       0.682135            708         0.9978          220.1          0.969
         226000       0.685241            711         0.9977          221.3          0.940
         227000       0.688182            713         0.9977          222.3          0.940
         228000       0.691576            717         0.9977          223.4          0.936
         229000       0.694422            721         0.9977          224.4          1.002
         230000       0.697131            725         0.9977          225.4          0.953
         231000       0.701090            728         0.9977          226.4          0.999
         232000       0.704778            731         0.9977          227.4          0.984
         233000       0.708918            737         0.9977          228.5          1.004
         234000       0.711645            738         0.9977          229.5          0.964
         235000       0.714913            743         0.9977          230.6          1.057
         236000       0.718091            748         0.9977          231.7          1.052
         237000       0.721286            751         0.9977          232.7          1.047
         238000       0.725282            753         0.9977          233.7          1.022
         239000       0.728174            754         0.9977          234.8          0.991
         240000       0.732168            760         0.9976          235.8          0.969
         241000       0.735327            761         0.9976          236.8          0.964
         242000       0.738668            763         0.9976          237.9          0.971
         243000       0.742801            765         0.9976          238.9          0.960
         244000       0.745100            768         0.9976          240.0          0.968
         245000       0.747958            772         0.9976          241.1          0.981
         246000       0.750616            775         0.9975          242.2          0.922
         247000       0.753684            779         0.9975          243.2          0.931
         248000       0.757817            781         0.9975          244.3          0.996
         249000       0.761266            784         0.9975          245.4          1.065
         250000       0.764619            786         0.9975          246.5          0.977
