=============================================================== 

as [A] =           2.71500 
ag [A] =           2.83000 
al [A] =           2.86833 
skl [eV/A/A] =          2.15025 
skd [eV/A/A] =          1.07513 
mu [A] =           0.04236 
D [1/s]=        5.19588E+12 
E [eV] =            0.53000 
gamma [eV] =         0.40000 
nx=    500 
ny=    80 
nsurf= 32 
irange_min = 10 
irange_max = 10 
time_fluence [s] =           8.000 
time_simulation [s] =         100.000 
k_max_step= 8 
f_deposition [ML/s]=           0.080 
temperature [K] =             600 
================================================================ 

iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     53000        0.133403     143        0.9984   (       125.7)         0.450
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     54000        0.136674     149        0.9983   (       127.9)         0.501
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     55000        0.139323     154        0.9984   (       130.1)         0.510
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     56000        0.141188     155        0.9984   (       132.4)         0.392
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     57000        0.144355     157        0.9984   (       134.6)         0.366
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     58000        0.147432     159        0.9983   (       136.8)         0.375
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     59000        0.150022     161        0.9983   (       139.0)         0.362
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     60000        0.152477     163        0.9984   (       141.2)         0.401
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     61000        0.155249     166        0.9983   (       143.4)         0.433
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     62000        0.157532     169        0.9984   (       145.6)         0.494
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     63000        0.162835     176        0.9983   (       147.8)         0.484
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     64000        0.164832     178        0.9984   (       150.0)         0.485
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     65000        0.167505     181        0.9984   (       152.2)         0.509
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     66000        0.170161     183        0.9984   (       154.4)         0.502
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     67000        0.173905     186        0.9983   (       156.6)         0.484
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     68000        0.176785     190        0.9982   (       158.8)         0.483
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     69000        0.180751     194        0.9982   (       161.0)         0.406
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     70000        0.183459     197        0.9981   (       163.2)         0.562
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     71000        0.186027     202        0.9981   (       165.4)         0.528
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     72000        0.188549     205        0.9981   (       167.6)         0.635
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     73000        0.190431     207        0.9981   (       169.8)         0.625
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     74000        0.192396     209        0.9981   (       172.0)         0.562
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     75000        0.194862     212        0.9981   (       174.2)         0.575
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     76000        0.197759     217        0.9981   (       176.4)         0.611
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     77000        0.201418     223        0.9980   (       178.6)         0.529
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     78000        0.204417     226        0.9980   (       180.8)         0.546
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     79000        0.207277     230        0.9980   (       183.0)         0.634
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     80000        0.210497     234        0.9980   (       185.2)         0.545
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     81000        0.214359     239        0.9979   (       187.3)         0.493
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     82000        0.217188     241        0.9979   (       189.5)         0.597
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     83000        0.220587     248        0.9979   (       191.7)         0.720
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     84000        0.223515     251        0.9979   (       193.9)         0.812
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     85000        0.226660     254        0.9978   (       196.1)         0.656
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     86000        0.230184     255        0.9977   (       198.3)         0.517
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     87000        0.235404     257        0.9977   (       200.5)         0.587
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     88000        0.239633     261        0.9976   (       202.7)         0.610
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     89000        0.242645     264        0.9976   (       204.8)         0.639
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     90000        0.247255     268        0.9976   (       207.0)         0.723
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     91000        0.250640     270        0.9975   (       209.2)         0.776
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     92000        0.254030     273        0.9975   (       211.4)         0.699
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     93000        0.256900     275        0.9975   (       213.6)         0.774
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     94000        0.259943     279        0.9975   (       215.7)         0.716
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     95000        0.263938     282        0.9974   (       217.9)         0.645
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     96000        0.266869     284        0.9974   (       220.1)         0.683
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     97000        0.268125     287        0.9973   (       222.3)         0.924
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     98000        0.269784     291        0.9971   (       224.5)         0.768
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     99000        0.272068     293        0.9971   (       226.7)         0.684
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    100000        0.275466     295        0.9971   (       228.9)         0.693
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    101000        0.279647     300        0.9971   (       231.0)         0.699
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    102000        0.282888     304        0.9971   (       233.2)         0.712
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    103000        0.286143     306        0.9971   (       235.4)         0.668
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    104000        0.288565     309        0.9971   (       237.6)         0.720
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    105000        0.291630     309        0.9971   (       239.8)         0.756
