KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 500
                               grid_y = 80
                     substrate_height = 16
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 2.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.080
                      temperature [K] = 500
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
           1000       0.011135             11         1.0000            1.9          0.094
           2000       0.020713             17         1.0000            3.9          0.150
           3000       0.029020             28         1.0000            5.9          0.202
           4000       0.045728             44         1.0000            7.8          0.223
           5000       0.063536             58         1.0000            9.7          0.246
           6000       0.089032             77         1.0000           11.5          0.259
           7000       0.104866             94         1.0000           13.4          0.271
           8000       0.124134            109         1.0000           15.1          0.282
           9000       0.138986            128         1.0000           16.9          0.288
          10000       0.163067            155         1.0000           18.6          0.291
          11000       0.203304            202         1.0000           20.2          0.367
          12000       0.225808            227         1.0000           21.9          0.326
          13000       0.254039            253         1.0000           23.5          0.345
          14000       0.273394            279         1.0000           25.1          0.337
          15000       0.306383            310         1.0000           26.7          0.361
          16000       0.332401            335         1.0000           28.3          0.394
          17000       0.349582            357         1.0000           29.9          0.403
          18000       0.371269            382         1.0000           31.6          0.384
          19000       0.396235            406         0.9999           33.2          0.349
          20000       0.436071            445         0.9999           34.8          0.369
          21000       0.474457            485         1.0000           36.4          0.398
          22000       0.511398            524         1.0000           38.0          0.353
          23000       0.549358            558         0.9999           39.6          0.346
          24000       0.572241            582         0.9999           41.3          0.352
          25000       0.605657            614         0.9998           42.9          0.375
          26000       0.638083            641         0.9998           44.4          0.401
          27000       0.667212            670         0.9998           46.0          0.395
          28000       0.699733            704         0.9997           47.7          0.384
          29000       0.725708            735         0.9997           49.3          0.380
          30000       0.754632            768         0.9997           50.9          0.501
          31000       0.800014            808         0.9997           52.4          0.393
          32000       0.830901            840         0.9997           54.0          0.357
          33000       0.860133            865         0.9998           55.6          0.354
          34000       0.895583            899         0.9998           57.3          0.347
          35000       0.931273            932         0.9998           58.9          0.341
          36000       0.959066            953         0.9998           60.5          0.363
          37000       0.983637            985         0.9998           62.1          0.368
          38000       1.017090           1019         0.9998           63.8          0.377
          39000       1.056693           1063         0.9998           65.4          0.461
          40000       1.085598           1094         0.9998           67.1          0.517
          41000       1.111713           1127         0.9998           68.7          0.468
          42000       1.151395           1165         0.9998           70.3          0.459
          43000       1.192948           1201         0.9998           71.9          0.423
          44000       1.230362           1239         0.9997           73.5          0.449
          45000       1.261873           1274         0.9997           75.1          0.391
          46000       1.291997           1300         0.9997           76.7          0.345
          47000       1.314779           1326         0.9997           78.4          0.365
          48000       1.348652           1354         0.9997           80.0          0.400
          49000       1.371823           1376         0.9997           81.7          0.372
          50000       1.389187           1393         0.9997           83.3          0.369
          51000       1.425302           1425         0.9997           84.9          0.434
          52000       1.449218           1449         0.9997           86.5          0.488
          53000       1.471257           1474         0.9997           88.2          0.434
          54000       1.492067           1505         0.9997           89.8          0.431
          55000       1.530695           1541         0.9997           91.4          0.430
          56000       1.571286           1583         0.9997           93.0          0.401
          57000       1.598162           1612         0.9997           94.6          0.394
          58000       1.636986           1648         0.9997           96.3          0.455
          59000       1.658148           1665         0.9997           98.0          0.430
          60000       1.693775           1701         0.9997           99.6          0.486
          61000       1.728626           1744         0.9996          101.2          0.501
          62000       1.772674           1785         0.9996          102.7          0.395
          63000       1.797218           1811         0.9996          104.4          0.501
          64000       1.824776           1844         0.9996          106.0          0.439
          65000       1.859181           1872         0.9996          107.7          0.492
          66000       1.881327           1893         0.9996          109.4          0.488
          67000       1.917715           1928         0.9996          111.1          0.474
          68000       1.947279           1963         0.9996          112.7          0.498
          69000       1.977139           1992         0.9996          114.4          0.443
