KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 500
                               grid_y = 80
                     substrate_height = 16
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 2.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.040
                      temperature [K] = 600
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
           1000       0.002622              2         1.0000            1.0          0.025
           2000       0.003144              2         1.0000            2.1          0.025
           3000       0.003593              3         1.0000            3.2          0.025
           4000       0.004355              3         1.0000            4.3          0.054
           5000       0.007424              5         1.0000            5.5          0.126
           6000       0.010767              7         1.0000            6.6          0.126
           7000       0.012222              8         1.0000            7.7          0.125
           8000       0.015519              8         1.0000            8.8          0.125
           9000       0.017243             10         1.0000            9.9          0.170
          10000       0.020168             10         1.0000           11.0          0.129
          11000       0.020888             10         1.0000           12.1          0.151
          12000       0.022491             12         1.0000           13.2          0.171
          13000       0.023533             12         1.0000           14.3          0.170
          14000       0.025340             12         1.0000           15.4          0.170
          15000       0.026183             12         1.0000           16.5          0.171
          16000       0.027134             12         1.0000           17.5          0.170
          17000       0.027856             14         1.0000           18.6          0.171
          18000       0.028927             15         1.0000           19.7          0.201
          19000       0.033236             16         1.0000           20.8          0.212
          20000       0.037701             19         0.9999           21.9          0.215
          21000       0.040630             19         1.0000           22.9          0.230
          22000       0.042045             21         1.0000           24.1          0.223
          23000       0.042824             21         1.0000           25.2          0.221
          24000       0.043814             22         1.0000           26.3          0.224
          25000       0.046679             22         0.9999           27.4          0.230
          26000       0.048741             24         0.9999           28.5          0.237
          27000       0.049676             24         0.9999           29.6          0.239
          28000       0.051630             27         0.9999           30.7          0.226
          29000       0.052403             27         0.9999           31.8          0.232
          30000       0.056997             28         0.9999           32.9          0.228
          31000       0.057938             29         0.9999           34.1          0.216
          32000       0.062058             32         0.9999           35.2          0.255
          33000       0.069245             38         0.9998           36.2          0.264
          34000       0.072108             41         0.9998           37.3          0.272
          35000       0.074445             43         0.9998           38.4          0.272
          36000       0.076105             43         0.9998           39.5          0.274
          37000       0.078747             44         0.9998           40.6          0.274
          38000       0.082299             44         0.9998           41.7          0.275
          39000       0.085341             44         0.9998           42.7          0.282
          40000       0.086311             44         0.9998           43.8          0.281
          41000       0.091159             47         0.9998           44.8          0.282
          42000       0.093911             49         0.9998           45.9          0.277
          43000       0.099602             52         0.9998           47.0          0.279
          44000       0.101459             52         0.9998           48.1          0.277
          45000       0.105524             55         0.9998           49.1          0.277
          46000       0.109836             57         0.9998           50.2          0.279
          47000       0.112513             60         0.9998           51.3          0.277
          48000       0.115639             61         0.9998           52.3          0.279
          49000       0.120435             61         0.9997           53.4          0.282
          50000       0.122583             63         0.9997           54.5          0.281
          51000       0.124640             64         0.9997           55.6          0.282
          52000       0.126703             64         0.9997           56.7          0.284
          53000       0.129075             66         0.9997           57.8          0.280
          54000       0.132113             67         0.9996           58.8          0.282
          55000       0.134337             67         0.9996           59.8          0.285
          56000       0.136322             68         0.9996           60.9          0.285
          57000       0.140805             69         0.9996           61.9          0.277
          58000       0.143163             71         0.9996           62.9          0.279
          59000       0.146607             74         0.9996           64.0          0.286
          60000       0.149153             77         0.9996           65.0          0.282
          61000       0.152667             80         0.9996           66.1          0.279
          62000       0.156786             82         0.9996           67.1          0.274
          63000       0.160687             82         0.9996           68.2          0.279
          64000       0.163093             82         0.9996           69.2          0.277
          65000       0.166234             85         0.9996           70.2          0.280
          66000       0.169937             85         0.9996           71.3          0.280
          67000       0.174343             88         0.9996           72.3          0.286
          68000       0.177371             90         0.9995           73.4          0.288
          69000       0.180383             93         0.9995           74.4          0.289
          70000       0.186537             95         0.9995           75.5          0.287
          71000       0.189786             98         0.9995           76.5          0.290
          72000       0.195362            103         0.9995           77.5          0.299
          73000       0.199212            103         0.9995           78.6          0.300
          74000       0.203291            107         0.9995           79.6          0.300
          75000       0.207131            108         0.9995           80.7          0.302
          76000       0.211108            111         0.9994           81.7          0.302
          77000       0.215785            113         0.9994           82.8          0.303
          78000       0.220036            118         0.9994           83.8          0.302
          79000       0.223822            120         0.9994           84.9          0.305
          80000       0.227524            123         0.9994           85.9          0.307
          81000       0.228819            123         0.9994           86.9          0.305
          82000       0.231597            126         0.9994           87.9          0.304
          83000       0.237144            127         0.9994           88.9          0.302
          84000       0.240786            129         0.9994           90.0          0.302
          85000       0.242597            130         0.9994           91.0          0.299
          86000       0.245713            132         0.9994           92.1          0.303
          87000       0.249443            134         0.9994           93.1          0.300
          88000       0.253130            139         0.9994           94.1          0.295
          89000       0.257676            141         0.9994           95.2          0.302
          90000       0.260714            142         0.9994           96.2          0.301
          91000       0.263750            145         0.9994           97.3          0.307
          92000       0.267355            146         0.9993           98.3          0.351
          93000       0.271367            149         0.9994           99.4          0.307
          94000       0.275604            153         0.9993          100.4          0.307
          95000       0.279459            154         0.9993          101.4          0.304
          96000       0.283318            154         0.9993          102.4          0.308
          97000       0.286874            156         0.9993          103.4          0.324
          98000       0.290420            160         0.9993          104.4          0.360
          99000       0.293586            161         0.9993          105.5          0.390
         100000       0.297259            162         0.9993          106.5          0.309
         101000       0.300458            162         0.9993          107.5          0.308
         102000       0.304699            162         0.9993          108.5          0.343
         103000       0.309316            163         0.9993          109.5          0.307
         104000       0.312417            165         0.9993          110.5          0.308
         105000       0.316799            169         0.9993          111.5          0.313
         106000       0.322138            171         0.9993          112.5          0.306
         107000       0.325119            173         0.9993          113.6          0.307
         108000       0.327977            173         0.9993          114.6          0.304
         109000       0.330966            173         0.9993          115.6          0.306
         110000       0.334856            175         0.9993          116.7          0.297
         111000       0.338584            177         0.9993          117.7          0.299
         112000       0.341673            178         0.9992          118.7          0.303
         113000       0.345119            182         0.9992          119.8          0.301
         114000       0.348552            182         0.9992          120.8          0.298
         115000       0.352161            184         0.9992          121.8          0.299
         116000       0.355852            185         0.9992          122.8          0.299
         117000       0.359817            188         0.9992          123.9          0.300
         118000       0.365659            194         0.9992          124.9          0.298
         119000       0.367892            194         0.9992          125.9          0.299
         120000       0.372536            195         0.9991          127.0          0.303
         121000       0.376295            197         0.9991          128.0          0.298
         122000       0.379842            198         0.9991          129.0          0.306
         123000       0.382863            201         0.9991          130.1          0.307
         124000       0.386455            203         0.9991          131.1          0.305
         125000       0.390808            204         0.9991          132.1          0.303
         126000       0.395310            209         0.9991          133.2          0.301
         127000       0.398609            213         0.9991          134.2          0.298
         128000       0.402080            216         0.9991          135.2          0.296
         129000       0.405919            217         0.9991          136.2          0.301
         130000       0.409547            219         0.9990          137.2          0.298
         131000       0.413093            220         0.9990          138.2          0.299
         132000       0.416826            221         0.9990          139.2          0.306
         133000       0.419683            223         0.9990          140.2          0.311
         134000       0.422953            223         0.9990          141.3          0.301
         135000       0.426988            224         0.9990          142.3          0.305
         136000       0.430417            228         0.9990          143.3          0.312
         137000       0.433268            229         0.9990          144.3          0.315
         138000       0.437914            232         0.9990          145.3          0.314
         139000       0.440368            233         0.9990          146.3          0.311
         140000       0.443198            234         0.9989          147.4          0.311
         141000       0.446022            234         0.9989          148.4          0.323
         142000       0.449095            234         0.9989          149.4          0.370
         143000       0.454034            234         0.9989          150.4          0.311
         144000       0.457029            236         0.9989          151.4          0.315
         145000       0.459962            239         0.9989          152.4          0.330
         146000       0.464276            242         0.9989          153.4          0.340
         147000       0.467482            245         0.9989          154.4          0.303
         148000       0.471102            247         0.9989          155.4          0.331
         149000       0.473020            248         0.9989          156.5          0.304
         150000       0.476578            249         0.9989          157.5          0.306
         151000       0.480166            252         0.9989          158.6          0.366
         152000       0.483086            253         0.9989          159.6          0.371
         153000       0.486522            254         0.9988          160.7          0.397
         154000       0.489334            255         0.9988          161.7          0.399
         155000       0.492024            260         0.9988          162.8          0.390
         156000       0.494803            262         0.9988          163.8          0.395
         157000       0.497395            263         0.9988          164.8          0.346
         158000       0.500635            264         0.9988          165.9          0.339
         159000       0.503896            265         0.9988          166.9          0.328
         160000       0.508226            270         0.9988          167.9          0.361
         161000       0.510859            273         0.9988          168.9          0.361
         162000       0.514508            275         0.9988          169.9          0.439
         163000       0.520226            282         0.9988          170.9          0.379
         164000       0.523183            283         0.9988          171.9          0.411
         165000       0.525832            284         0.9988          172.9          0.455
         166000       0.528718            285         0.9988          173.9          0.423
         167000       0.533651            287         0.9988          175.0          0.447
         168000       0.537177            287         0.9988          176.0          0.396
         169000       0.540753            288         0.9987          177.0          0.452
         170000       0.544086            289         0.9987          178.0          0.444
         171000       0.548344            294         0.9987          179.0          0.447
         172000       0.552001            294         0.9987          180.0          0.405
         173000       0.555248            296         0.9987          181.0          0.454
         174000       0.558822            298         0.9987          182.0          0.453
         175000       0.563232            299         0.9987          183.0          0.402
         176000       0.566688            299         0.9987          184.0          0.367
         177000       0.568884            301         0.9987          185.0          0.435
         178000       0.572781            302         0.9987          186.0          0.395
         179000       0.576463            305         0.9987          187.0          0.444
         180000       0.580233            306         0.9987          188.0          0.399
         181000       0.584482            308         0.9987          189.0          0.398
         182000       0.589110            308         0.9987          190.0          0.454
         183000       0.594412            310         0.9987          191.0          0.444
         184000       0.598197            310         0.9986          192.0          0.448
         185000       0.602817            314         0.9986          193.0          0.398
         186000       0.606635            315         0.9986          194.1          0.434
         187000       0.611645            316         0.9986          195.1          0.436
         188000       0.615131            316         0.9986          196.1          0.384
         189000       0.619008            319         0.9986          197.1          0.367
         190000       0.623011            321         0.9986          198.1          0.444
         191000       0.625846            323         0.9986          199.1          0.443
         192000       0.629561            326         0.9986          200.2          0.412
         193000       0.633969            327         0.9986          201.2          0.443
         194000       0.638190            327         0.9986          202.2          0.335
         195000       0.640886            328         0.9986          203.2          0.346
         196000       0.645153            332         0.9985          204.3          0.404
         197000       0.649754            333         0.9985          205.3          0.409
         198000       0.653763            337         0.9985          206.3          0.392
         199000       0.656310            338         0.9985          207.3          0.368
         200000       0.659948            339         0.9985          208.3          0.418
         201000       0.663665            341         0.9985          209.3          0.379
         202000       0.666665            342         0.9985          210.3          0.441
         203000       0.669601            344         0.9985          211.4          0.430
         204000       0.672678            347         0.9985          212.4          0.436
         205000       0.675318            348         0.9985          213.4          0.454
         206000       0.678479            351         0.9985          214.5          0.405
         207000       0.683328            351         0.9985          215.5          0.449
         208000       0.687305            355         0.9985          216.5          0.452
         209000       0.690442            358         0.9985          217.6          0.417
         210000       0.694261            358         0.9985          218.6          0.419
         211000       0.697581            358         0.9985          219.6          0.436
